id_institucion,nombre,cue,id_edificio,establecimiento_de_cabecera,nivel_educativo,categoria,ambito
"152","CAMPANA DEL DESIERTO","700027800","59",,"PRIMARIO","PRIMERA",
"153","J.I.N.Z. NÂº 42 CAMPANA DEL DESIERTO ANEXO","700098303","59",,"INICIAL","PRIMERA",
"154","ESCUELA SECUNDARIA CAMPANA DEL DESIERTO","700101400","59",,"SECUNDARIO","TERCERA",
"155","NOCTURNA MATIAS ZAVALLA","700027200","60",,"UEPA","TERCERA",
"156","PRESIDENTE HIPOLITO YRIGOYEN","700027400","60",,"PRIMARIO","SEGUNDA",
"157","FAUSTINA SARMIENTO DE BELIN","700027500","60",,"PRIMARIO","TERCERA",
"158","ESCUELA TEC. CAP. LAB. ING. ESTANISLAO TELLO","700071900","60",,"TEC. CAP. LABORAL","PRIMERA",
"159","J.I.N.Z. NÂº 42  PRESIDENTE HIPOLITO IRIGOYEN ANEXO","700098301","60",,"INICIAL","PRIMERA",
"160","J.I.N.Z. NÂº 42  FAUSTINA SARMIENTO DE BELIN ANEXO","700098302","60",,"INICIAL","PRIMERA",
"161","ESCUELA SECUNDARIA FAUSTINA SARMIENTO DE BELIN","700106700","60",,"SECUNDARIO","TERCERA",
"162","ESCUELA SECUNDARIA PRESIDENTE HIPOLITO YRIGOYEN","700115700","60",,"SECUNDARIO","TERCERA",
"163","TENIENTE 1Â° FRANCISCO IBANEZ","700061500","61",,"PRIMARIO","PRIMERA",
"164","J.I.N.Z. NÂº 41 TTE 1Âº FRANCISCO IBANEZ ANEXO","700098404","61",,"INICIAL","PRIMERA",
"165","ESCUELA SECUNDARIA TENIENTE 1Âº FRANCISCO IBANEZ","700105400","61",,"SECUNDARIO","TERCERA",
"166","COMANDANTE CABOT","700031100","62",,"PRIMARIO","TERCERA",
"167","ANEXO ESC. TEC. CAP. LAB. RICARDO ROJAS","700069101","62",,"TEC. CAP. LABORAL","PRIMERA",
"168","J.I.N.Z. NÂº 41  COMANDANTE CABOT ANEXO","700098402","62",,"INICIAL","PRIMERA",
"169","ESCUELA SECUNDARIA COMANDANTE CABOT","700111800","62",,"SECUNDARIO","TERCERA",
"170","CLARA ROSA CORTINEZ","700003000","63",,"PRIMARIO","PRIMERA",
"171","E.N.I. NÂº 31 PATRICIAS SANJUANINAS","700087800","63",,"INICIAL","PRIMERA",
"172","E.N.I. NÂº  1 FEDERICO FROEBEL","700002600","64",,"INICIAL","PRIMERA",
"173","C.E.N.S. NÂ° 188","700031200","64",,"CENS","TERCERA",
"174","ESTEBAN ECHEVERRIA","700031300","64",,"PRIMARIO","TERCERA",
"175","PROPAA ZONA OESTE UNIDAD EDUCATIVA NÂ° 57","700066416","64",,"","",
"176","ESCUELA TEC. CAP. LAB. NICOMEDES SEGUNDO PINTO","700069900","64",,"TEC. CAP. LABORAL","SEGUNDA",
"177","ESCUELA SECUNDARIA ESTEBAN ECHEVERRIA","700093400","64",,"SECUNDARIO","TERCERA",
"178","NOCTURNA FRAY JUSTO SANTA MARIA DE ORO","700059700","65",,"UEPA","TERCERA",
"179","DR. JOSE IGNACIO DE LA ROZA","700059900","65",,"PRIMARIO","SEGUNDA",
"180","DR. GUILLERMO RAWSON","700060100","65",,"PRIMARIO","PRIMERA",
"181","ESCUELA TEC. CAP. LAB. RICARDO ROJAS","700069100","65",,"TEC. CAP. LABORAL","PRIMERA",
"182","E.N.I. NÂº 53 LOS COLIBRIES","700095500","65",,"INICIAL","PRIMERA",
"183","9 DE JULIO","700061200","66",,"PRIMARIO","TERCERA",
"184","DR. FLORENTINO AMEGHINO","700061400","66",,"PRIMARIO","SEGUNDA",
"185","E.N.I. NÂº 78","700115400","66",,"INICIAL","PRIMERA",
"186","J.I.N.Z. CAPITAL - TENIENTE PEDRO NOLASCO FONSECA ANEXO","700002404","67",,"INICIAL","PRIMERA",
"187","TENIENTE PEDRO NOLASCO FONSECA","700058000","67",,"PRIMARIO","PRIMERA",
"188","ESCUELA DE FRUTICULTURA Y ENOLOGIA","700027700","68",,"AGROTECNICA","PRIMERA",
"189","MARIA LUISA VILLARINO DE DEL CARRIL","700027100","69",,"PRIMARIO","PRIMERA",
"190","ESCUELA TEC. CAP. LAB. ARNOBIO SANCHEZ","700069300","69",,"TEC. CAP. LABORAL","SEGUNDA",
"191","J.I.N.Z. NÂº 42 MARIA LUISA VILLARINO DE DEL CARRIL SEDE","700098300","69",,"INICIAL","PRIMERA",
"192","MANUEL LAINEZ","700011900","70",,"PRIMARIO","PRIMERA",
"193","CENTRO POLIVALENTE DE ARTE","700046200","70",,"SECUNDARIO","PRIMERA",
"194","J.I.N.Z. NÂº 41  MANUEL LAINEZ ANEXO","700098403","70",,"INICIAL","PRIMERA",
"195","NOCTURNA PROVINCIA DE CORDOBA","700033200","71",,"UEPA","TERCERA",
"196","PERITO FRANCISCO PASCACIO MORENO","700058200","71",,"PRIMARIO","SEGUNDA",
"197","ANGEL DOMINGO ROJAS","700058300","71",,"PRIMARIO","PRIMERA",
"198","ESCUELA TEC. CAP. LAB. DR. CARLOS MARIA BIEDMA","700066500","71",,"TEC. CAP. LABORAL","PRIMERA",
"199","NOCTURNA TAMBOR DE TACUARI","700045400","72",,"UEPA","TERCERA",
"200","MIGUEL DE AZCUENAGA","700045600","72",,"PRIMARIO","TERCERA",
"201","ESCUELA SECUNDARIA MIGUEL DE AZCUENAGA","700091400","72",,"SECUNDARIO","TERCERA",
"202","J.I.N.Z. NÂº 41  MIGUEL DE AZCUENAGA SEDE","700098401","72",,"INICIAL","PRIMERA",
"203","ESCUELA E.E.E. LUIS BRAILLE","700033400","73",,"EDUCACION ESPECIAL","PRIMERA",
"204","ESCUELA DE EDUCACION ESPECIAL ARA SAN JUAN (EX E.E.E. SARM)","700045900","74",,"EDUCACION ESPECIAL","PRIMERA",
"205","C.E.N.S. NÂ° 239","700060600","75",,"CENS","TERCERA",
"206","CAPITAL FEDERAL","700060700","75",,"PRIMARIO","PRIMERA",
"207","ANEXO ESC. TEC. CAP. LAB. JUAN BAUTISTA ALBERDI","700070401","75",,"TEC. CAP. LABORAL","PRIMERA",
"208","J.I.N.Z. NÂº 41 CAPITAL FEDERAL ANEXO","700098400","75",,"INICIAL","PRIMERA",
"209","DR. ISIDRO MARIANO DE ZAVALLA","700036600","76",,"PRIMARIO","PRIMERA",
"210","JOSE CHIRAPOZU","700036700","76",,"PRIMARIO","PRIMERA",
"211","E.N.I. NÂº 24 SAN JUAN PABLO II","700085700","76",,"INICIAL","PRIMERA",
"212","ESCUELA NORMAL SUPERIOR GRAL. MANUEL BELGRANO","700039800","77",,"INICIAL","PRIMERA",
"212","ESCUELA NORMAL SUPERIOR GRAL. MANUEL BELGRANO","700039800","77",,"PRIMARIO","PRIMERA",
"212","ESCUELA NORMAL SUPERIOR GRAL. MANUEL BELGRANO","700039800","77",,"SECUNDARIO","PRIMERA",
"212","ESCUELA NORMAL SUPERIOR GRAL. MANUEL BELGRANO","700039800","77",,"SUPERIOR","PRIMERA",
"213","INSTITUTO SUPERIOR EN DESARROLLO DE SOFTWARE","700039801","77",,"","",
"214","NOCTURNA JOSE MANUEL ESTRADA ANEXO 1 BERMEJO","700004401","78",,"","",
"215","ESCUELA E.E.E. MARIA MONTESSORI","700036300","78",,"EDUCACION ESPECIAL","PRIMERA",
"216","AGROTECNICA GONZALO ALBERTO DOBLAS","700055800","79",,"AGROTECNICA","TERCERA",
"217","INSTITUTO SUPERIOR DE ENOLOGIA E INDU. FRUTIH. ANEXO CAUCETE","700064701","79",,"SUPERIOR","CUARTA",
"218","REPUBLICA ARGENTINA","700021700","80",,"PRIMARIO","SEGUNDA",
"219","EEE REPUBLICA ARGENTINA ANEXO BERMEJO","700021701","80",,"EDUCACION ESPECIAL","CUARTA",
"220","ESCUELA SECUNDARIA REPUBLICA ARGENTINA","700102500","80",,"SECUNDARIO","TERCERA",
"221","J.I.N.Z. NÂº 54 ESC REPUBLICA ARGENTINA ANEXO","700111401","80",,"INICIAL","SEGUNDA",
"222","E.P.E.T. NÂ° 1 CAUCETE","700040300","81",,"TECNICO","PRIMERA",
"223","NOCTURNA DR. AMAN RAWSON","700040000","82",,"UEPA","TERCERA",
"224","PRESBITERO MARIANO IANNELLI","700040100","82",,"PRIMARIO","PRIMERA",
"225","MANUEL PACIFICO ANTEQUEDA T.M.","700040200","82",,"PRIMARIO","PRIMERA",
"226","ESCUELA TEC. CAP. LAB. LUIS JOFRE","700069000","82",,"TEC. CAP. LABORAL","PRIMERA",
"227","E.N.I. NÂº 56 HEROES DE MALVINAS","700096600","82",,"INICIAL","PRIMERA",
"228","DR. SATURNINO SALAS","700018600","83",,"PRIMARIO","TERCERA",
"229","J.I.N.Z. NÂº 32  DR. SATURNINO SALAS ANEXO","700103001","83",,"INICIAL","PRIMERA",
"230","ESCUELA SECUNDARIA DR. SATURNINO SALAS","700108400","83",,"SECUNDARIO","TERCERA",
"231","C.E.N.S. EL RINCON","700113200","83",,"CENS","TERCERA",
"232","REPUBLICA DE BOLIVIA","700021800","84",,"PRIMARIO","TERCERA",
"233","J.I.N.Z. NÂº 54  ESC REPUBLICA DEL PARAGUAY SEDE","700111403","84",,"INICIAL","SEGUNDA",
"234","ESTANISLAO DEL CAMPO","700008900","85",,"PRIMARIO","TERCERA",
"235","ESCUELA AMERICA SOFIA GIL DE CALVO (EX U.E.P.A. MOVIL NÂ° 2)","700009100","85",,"UEPA","TERCERA",
"236","J.I.N.Z. NÂº 55  ESC ESTANISLAO DEL CAMPO ANEXO","700111203","85",,"INICIAL","PRIMERA",
"237","JUAN LAVALLE","700009000","86",,"PRIMARIO","TERCERA",
"238","J.I.N.Z. NÂº 55  ESC JUAN LAVALLE ANEXO","700111202","86",,"INICIAL","PRIMERA",
"239","ROMULO GIUFFRA","700056700","87",,"PRIMARIO","TERCERA",
"240","J.I.N.Z. NÂº 54  ESC ROMULO GIUFFRA ANEXO","700111404","87",,"INICIAL","SEGUNDA",
"241","DRA. LETICIA ACOSTA DE SORMANI","700022000","88",,"PRIMARIO","TERCERA",
"242","HIPOLITO VIEYTES","700039600","89",,"PRIMARIO","PRIMERA",
"243","ESCUELA SECUNDARIA HIPOLITO VIEYTES","700092900","89",,"SECUNDARIO","TERCERA",
"244","E.N.I. NÂº 72 ANTONIO AGULLES","700107100","89",,"INICIAL","TERCERA",
"245","JOSE MARIA DE LOS RIOS","700009200","90",,"PRIMARIO","TERCERA",
"246","J.I.N.Z. NÂº 55 ESC JOSE MARIA DE LOS RIOS SEDE","700111200","90",,"INICIAL","PRIMERA",
"247","ANDINA","700055600","91",,"PRIMARIO","SEGUNDA",
"248","J.I.N.Z. NÂº 53 ESC ANDINA SEDE","700108300","91",,"INICIAL","PRIMERA",
"249","ESCUELA DE EDUCACION SECUNDARIA ANDINA","700115600","91",,"SECUNDARIO","TERCERA",
"250","PRESIDENTE JULIO ARGENTINO ROCA","700056800","92",,"PRIMARIO","TERCERA",
"251","J.I.N.Z. NÂº 54 ESC PRESIDENTE JULIO ARGENTINO ROCA ANEXO","700111405","92",,"INICIAL","SEGUNDA",
"252","ARTURO BERUTI","700018700","93",,"PRIMARIO","TERCERA",
"253","ESCUELA TEC. CAP. LAB. NÂ° 1 PEDRO ECHAGUE","700068700","93",,"TEC. CAP. LABORAL","TERCERA",
"254","J.I.N.Z. NÂº 32  ESC ARTURO BERUTI ANEXO","700103002","93",,"INICIAL","PRIMERA",
"255","ESCUELA SECUNDARIA ARTURO BERUTI","700113000","93",,"SECUNDARIO","TERCERA",
"256","JUAN DE DIOS FLORES","700018800","94",,"PRIMARIO","TERCERA",
"257","J.I.N.Z. NÂº 53  ESC JUAN DE DIOS FLORES ANEXO","700108301","94",,"INICIAL","PRIMERA",
"258","OBISPO ZAPATA","700019000","95",,"PRIMARIO","TERCERA",
"259","ESCUELA SECUNDARIA OBISPO ZAPATA","700091900","95",,"SECUNDARIO","TERCERA",
"260","J.I.N.Z. NÂº 53  ESC OBISPO ZAPATA ANEXO","700108303","95",,"INICIAL","PRIMERA",
"261","REPUBLICA DEL PARAGUAY","700022100","96",,"PRIMARIO","TERCERA",
"262","NOCTURNA DR. AMAN RAWSON ANEXO 1 VALLECITO","700040001","96",,"UEPA","TERCERA",
"263","ESCUELA SECUNDARIA REPUBLICA DEL PARAGUAY","700101000","96",,"SECUNDARIO","TERCERA",
"264","J.I.N.Z. NÂº 54 ESC REPUBLICA DE BOLIVIA ANEXO","700111400","96",,"INICIAL","PRIMERA",
"265","NOCTURNA JOSE MANUEL ESTRADA ANEXO 2 VILLA INDEPENDENCIA","700004402","97",,"","",
"266","PEDRO ECHAGUE","700039700","97",,"PRIMARIO","TERCERA",
"267","ESCUELA SECUNDARIA PEDRO ECHAGUE","700102400","97",,"SECUNDARIO","TERCERA",
